PROCDATE  JOB       FILTER  OBSID   SCANUM  FIELD     MJD      
20250927  jid80901  R062    9271    16       5333116  62120.120
20250927  jid80902  R062    12342   16       5333116  62160.091
20250927  jid80903  R062    12347   18       5333116  62160.107
20250927  jid80904  R062    10036   16       5333116  62130.104
20250927  jid80905  R062    12726   9        5333116  62165.088
20250927  jid80906  R062    12732   18       5333116  62165.107
20250927  jid80907  R062    13117   17       5333116  62170.107
20250927  jid80908  R062    13502   17       5333116  62175.107
20250927  jid80909  R062    14267   10       5333116  62185.091
20250927  jid80910  R062    14272   16       5333116  62185.107
20250927  jid80911  R062    14652   10       5333116  62190.091
20250927  jid80912  R062    14657   16       5333116  62190.107
20250927  jid80913  R062    15032   3        5333116  62195.075
20250927  jid80914  R062    16577   16       5333116  62215.091
20250927  jid80915  R062    16578   6        5333116  62215.094
20250927  jid80916  R062    17738   3        5333116  62230.110
20250927  jid80917  R062    18898   15       5333116  62245.126
20250927  jid80918  R062    16968   9        5333116  62220.110
20250927  jid80919  R062    17353   6        5333116  62225.110
20250927  jid80920  R062    19662   7        5333116  62255.107
20250927  jid80921  R062    19668   16       5333116  62255.126
20250927  jid80922  R062    20437   6        5333116  62265.123
20250927  jid80923  R062    21202   9        5333116  62275.107
20250927  jid80924  R062    21207   2        5333116  62275.123
20250927  jid80925  R062    21212   14       5333116  62275.139
20250927  jid80926  R062    21587   9        5333116  62280.107
20250927  jid80927  R062    23902   9        5333116  62310.123
20250927  jid80928  R062    25821   8        5333116  62335.104
20250927  jid80929  R062    26201   7        5333116  62340.088
20250927  jid80930  R062    26202   16       5333116  62340.091
20250927  jid80931  R062    26592   18       5333116  62345.107
20250927  jid80932  R062    27362   17       5333116  62355.107
20250927  jid80933  R062    28122   4        5333116  62365.075
20250927  jid80934  R062    28512   10       5333116  62370.091
20250927  jid80935  R062    28132   16       5333116  62365.107
20250927  jid80936  R062    28507   5        5333116  62370.075
20250927  jid80937  R062    28517   16       5333116  62370.107
20250927  jid80938  R062    28892   3        5333116  62375.075
20250927  jid80939  R062    29667   14       5333116  62385.091
20250927  jid80940  R062    30438   9        5333116  62395.094
20250927  jid81064  R062    3867    15       5352605  62050.075
20250927  jid81065  R062    5792    5        5352605  62075.075
20250927  jid81066  R062    4252    14       5352605  62055.075
20250927  jid81067  R062    6183    16       5352605  62080.094
20250927  jid81068  R062    7718    9        5352605  62100.078
20250927  jid81069  R062    8498    1        5352605  62110.110
20250927  jid81070  R062    8883    2        5352605  62115.110
20250927  jid81071  R062    9268    12       5352605  62120.110
20250927  jid81072  R062    9658    2        5352605  62125.126
20250927  jid81073  R062    9663    7        5352605  62125.142
20250927  jid81074  R062    10048   8        5352605  62130.142
20250927  jid81075  R062    10433   6        5352605  62135.142
20250927  jid81076  R062    12357   10       5352605  62160.139
20250927  jid81077  R062    12742   13       5352605  62165.139
20250927  jid81078  R062    15426   11       5352605  62200.104
20250927  jid81079  R062    15811   10       5352605  62205.104
20250927  jid81080  R062    16956   17       5352605  62220.072
20250927  jid81081  R062    18882   10       5352605  62245.075
20250927  jid81082  R062    19267   1        5352605  62250.075
20250927  jid81083  R062    19652   5        5352605  62255.075
20250927  jid81084  R062    21578   8        5352605  62280.078
20250927  jid81085  R062    23903   2        5352605  62310.126
20250927  jid81086  R062    24288   12       5352605  62315.126
20250927  jid81087  R062    25832   1        5352605  62335.139
20250927  jid81088  R062    26217   10       5352605  62340.139
20250927  jid81089  R062    26992   18       5352605  62350.155
20250927  jid81090  R062    27751   6        5352605  62360.120
20250927  jid81091  R062    28136   3        5352605  62365.120
20250927  jid81092  R062    28141   15       5352605  62365.136
20250927  jid81093  R062    28516   6        5352605  62370.104
20250927  jid81094  R062    28521   11       5352605  62370.120
20250927  jid81095  R062    28526   17       5352605  62370.136
20250927  jid81096  R062    28901   3        5352605  62375.104
20250927  jid81097  R062    29671   10       5352605  62385.104
20250927  jid81607  R062    3102    8        5356473  62040.091
20250927  jid81608  R062    3867    10       5356473  62050.075
20250927  jid81609  R062    5027    9        5356473  62065.091
20250927  jid81610  R062    5413    17       5356473  62070.094
20250927  jid81611  R062    5798    13       5356473  62075.094
20250927  jid81612  R062    6573    13       5356473  62085.110
20250927  jid81613  R062    7723    9        5356473  62100.094
20250927  jid81614  R062    8113    5        5356473  62105.110
20250927  jid81615  R062    8498    6        5356473  62110.110
20250927  jid81616  R062    8888    5        5356473  62115.126
20250927  jid81617  R062    9273    6        5356473  62120.126
20250927  jid81618  R062    9663    9        5356473  62125.142
20250927  jid81619  R062    11197   16       5356473  62145.123
20250927  jid81620  R062    10817   1        5356473  62140.139
20250927  jid81621  R062    11587   11       5356473  62150.139
20250927  jid81622  R062    11582   16       5356473  62150.123
20250927  jid81623  R062    11967   16       5356473  62155.123
20250927  jid81624  R062    16186   18       5356473  62210.072
20250927  jid81625  R062    16577   8        5356473  62215.091
20250927  jid81626  R062    16962   8        5356473  62220.091
20250927  jid81627  R062    17342   11       5356473  62225.075
20250927  jid81628  R062    18887   9        5356473  62245.091
20250927  jid81629  R062    19267   7        5356473  62250.075
20250927  jid81630  R062    21198   4        5356473  62275.094
20250927  jid81631  R062    21583   8        5356473  62280.094
20250927  jid81632  R062    21588   1        5356473  62280.110
20250927  jid81633  R062    22748   4        5356473  62295.126
20250927  jid81634  R062    23133   5        5356473  62300.126
20250927  jid81635  R062    23523   8        5356473  62305.142
20250927  jid81636  R062    24677   1        5356473  62320.139
20250927  jid81637  R062    25057   16       5356473  62325.123
20250927  jid81638  R062    25067   9        5356473  62325.155
20250927  jid81639  R062    25442   16       5356473  62330.123
20250927  jid81640  R062    25447   11       5356473  62330.139
20250927  jid81641  R062    25827   16       5356473  62335.123
20250927  jid81642  R062    26976   7        5356473  62350.104
20250927  jid81643  R062    26981   5        5356473  62350.120
20250927  jid81644  R062    27746   5        5356473  62360.104
20250927  jid81645  R062    27751   12       5356473  62360.120
20250927  jid81646  R062    28126   9        5356473  62365.088
20250927  jid81647  R062    28131   2        5356473  62365.104
20250927  jid81648  R062    28511   6        5356473  62370.088
20250927  jid81649  R062    28516   11       5356473  62370.104
20250927  jid81650  R062    28896   3        5356473  62375.088
20250927  jid81651  R062    28906   16       5356473  62375.120
20250927  jid81652  R062    29286   13       5356473  62380.104
20250927  jid81653  R062    29666   14       5356473  62385.088
20250927  jid81654  R062    30051   13       5356473  62390.088
20250927  jid81946  R062    5787    4        5356479  62075.059
20250927  jid81947  R062    6568    16       5356479  62085.094
20250927  jid81948  R062    6172    9        5356479  62080.059
20250927  jid81949  R062    6943    7        5356479  62090.062
20250927  jid81950  R062    7343    16       5356479  62095.110
20250927  jid81951  R062    9658    10       5356479  62125.126
20250927  jid81952  R062    10048   4        5356479  62130.142
20250927  jid81953  R062    13511   6        5356479  62175.136
20250927  jid81954  R062    11592   8        5356479  62150.155
20250927  jid81955  R062    13132   16       5356479  62170.155
20250927  jid81956  R062    15806   3        5356479  62205.088
20250927  jid81957  R062    16961   1        5356479  62220.088
20250927  jid81958  R062    17341   13       5356479  62225.072
20250927  jid81959  R062    17731   7        5356479  62230.088
20250927  jid81960  R062    18492   17       5356479  62240.059
20250927  jid81961  R062    20032   8        5356479  62260.059
20250927  jid81962  R062    18497   12       5356479  62240.075
20250927  jid81963  R062    21583   10       5356479  62280.094
20250927  jid81964  R062    21578   5        5356479  62280.078
20250927  jid81965  R062    21588   16       5356479  62280.110
20250927  jid81966  R062    21968   11       5356479  62285.094
20250927  jid81967  R062    22353   12       5356479  62290.094
20250927  jid81968  R062    23518   10       5356479  62305.126
20250927  jid81969  R062    24288   14       5356479  62315.126
20250927  jid81970  R062    25448   18       5356479  62330.142
20250927  jid81971  R062    24678   2        5356479  62320.142
20250927  jid81972  R062    26222   2        5356479  62340.155
20250927  jid81973  R062    26607   11       5356479  62345.155
20250927  jid81974  R062    27751   9        5356479  62360.120
20250927  jid81975  R062    27756   3        5356479  62360.136
20250927  jid81976  R062    28141   11       5356479  62365.136
20250927  jid81977  R062    28516   9        5356479  62370.104
20250927  jid81978  R062    28146   18       5356479  62365.152
20250927  jid81979  R062    28521   2        5356479  62370.120
20250927  jid81980  R062    28901   6        5356479  62375.104
20250927  jid81981  R062    28906   1        5356479  62375.120
20250927  jid81982  R062    30051   3        5356479  62390.088
20250927  jid82263  R062    3478    15       5364186  62045.062
20250927  jid82264  R062    3863    17       5364186  62050.062
20250927  jid82265  R062    4253    10       5364186  62055.077
20250927  jid82266  R062    5418    6        5364186  62070.110
